,REF-O3,REF-CO,REF-NO2,REF-SO2,REF-PM2.5,REF-PM10,REF-RH,REF-AMB_TEMP
2023-01-01 00:00:00,38.7,0.23,4.8,1.0,14.0,14.0,86.0,18.4
2023-01-01 01:00:00,38.3,0.22,5.3,0.4,9.0,13.0,87.0,18.6
2023-01-01 02:00:00,38.3,0.22,4.4,0.2,6.0,8.0,89.0,18.5
2023-01-01 03:00:00,38.3,0.21,4.1,0.1,8.0,3.0,88.0,18.6
2023-01-01 04:00:00,38.2,0.2,3.9,0.5,5.0,4.0,88.0,18.9
2023-01-01 05:00:00,36.3,0.21,4.1,0.2,8.0,8.0,89.0,18.9
2023-01-01 06:00:00,34.0,0.24,5.4,0.1,6.0,5.0,89.0,18.9
2023-01-01 07:00:00,32.8,0.28,7.3,0.2,5.0,3.0,87.0,19.2
2023-01-01 08:00:00,33.3,0.28,7.2,0.4,7.0,3.0,83.0,20.0
2023-01-01 09:00:00,33.2,0.3,7.7,0.4,5.0,6.0,78.0,21.1
2023-01-01 10:00:00,35.3,0.28,6.9,0.3,2.0,7.0,68.0,22.1
2023-01-01 11:00:00,37.2,0.25,5.7,0.4,2.0,5.0,64.0,22.6
2023-01-01 12:00:00,37.8,0.27,5.5,0.5,5.0,6.0,61.0,22.9
2023-01-01 13:00:00,38.2,0.24,5.1,0.4,5.0,10.0,59.0,23.0
2023-01-01 14:00:00,36.1,0.25,6.0,0.3,8.0,17.0,59.0,22.8
2023-01-01 15:00:00,34.7,0.25,6.0,0.6,6.0,15.0,62.0,22.4
2023-01-01 16:00:00,31.8,0.28,7.6,0.6,9.0,17.0,66.0,21.6
2023-01-01 17:00:00,30.2,0.28,8.7,0.5,7.0,9.0,67.0,21.0
2023-01-01 18:00:00,29.5,0.3,9.6,0.5,6.0,11.0,68.0,20.7
2023-01-01 19:00:00,29.0,0.3,9.7,0.3,6.0,10.0,68.0,20.5
2023-01-01 20:00:00,26.4,0.31,11.4,0.6,6.0,20.0,72.0,20.2
2023-01-01 21:00:00,26.7,0.3,10.9,0.4,5.0,14.0,73.0,20.2
2023-01-01 22:00:00,26.0,0.32,11.0,0.5,7.0,11.0,81.0,19.9
2023-01-01 23:00:00,28.0,0.26,9.1,0.5,10.0,14.0,85.0,19.7
2023-01-02 00:00:00,30.3,0.23,6.9,0.4,9.0,9.0,87.0,19.6
2023-01-02 01:00:00,31.6,0.2,5.2,0.3,5.0,8.0,86.0,19.6
2023-01-02 02:00:00,33.3,0.18,4.2,0.3,4.0,8.0,86.0,19.5
2023-01-02 03:00:00,31.7,0.19,4.4,0.5,12.0,7.0,89.0,19.1
2023-01-02 04:00:00,30.5,0.18,4.5,0.3,9.0,6.0,90.0,19.1
2023-01-02 05:00:00,30.9,0.17,4.7,0.3,4.0,4.0,91.0,19.0
2023-01-02 06:00:00,30.3,0.18,5.8,0.3,9.0,3.0,90.0,19.0
2023-01-02 07:00:00,27.3,0.23,8.2,0.4,6.0,4.0,90.0,19.0
2023-01-02 08:00:00,27.1,0.22,10.2,0.6,5.0,9.0,92.0,19.0
2023-01-02 09:00:00,31.1,0.21,9.5,0.7,7.0,18.0,91.0,19.4
2023-01-02 10:00:00,32.2,0.23,9.2,0.6,11.0,19.0,92.0,19.4
2023-01-02 11:00:00,37.0,0.24,8.3,0.7,11.0,18.0,89.0,19.8
2023-01-02 12:00:00,40.4,0.26,6.8,0.5,15.0,24.0,87.0,20.1
2023-01-02 13:00:00,40.2,0.25,7.0,0.6,17.0,23.0,85.0,20.2
2023-01-02 14:00:00,39.4,0.27,8.5,0.7,11.0,25.0,85.0,20.2
2023-01-02 15:00:00,42.1,0.28,7.0,0.7,18.0,24.0,87.0,19.8
2023-01-02 16:00:00,39.8,0.31,8.9,0.8,14.0,18.0,88.0,19.3
2023-01-02 17:00:00,37.4,0.34,11.5,1.1,21.0,27.0,90.0,18.6
2023-01-02 18:00:00,39.7,0.33,10.5,1.2,16.0,23.0,90.0,18.3
2023-01-02 19:00:00,44.3,0.3,7.8,0.9,16.0,25.0,90.0,18.0
2023-01-02 20:00:00,45.9,0.31,7.6,0.7,15.0,21.0,91.0,17.6
2023-01-02 21:00:00,45.3,0.31,7.8,0.6,11.0,27.0,92.0,17.0
2023-01-02 22:00:00,46.2,0.3,5.4,0.3,19.0,20.0,90.0,17.1
2023-01-02 23:00:00,44.6,0.3,5.7,0.4,13.0,23.0,90.0,16.9
2023-01-03 00:00:00,43.2,0.3,5.9,0.4,18.0,20.0,88.0,17.0
2023-01-03 01:00:00,41.9,0.28,8.0,0.9,19.0,27.0,88.0,17.0
2023-01-03 02:00:00,43.8,0.3,5.9,0.8,18.0,25.0,90.0,16.8
2023-01-03 03:00:00,44.4,0.32,5.1,0.6,15.0,17.0,93.0,16.6
2023-01-03 04:00:00,44.2,0.33,5.1,0.7,10.0,23.0,93.0,16.6
2023-01-03 05:00:00,42.0,0.3,4.9,0.6,6.0,15.0,92.0,16.6
2023-01-03 06:00:00,37.6,0.31,6.2,0.6,6.0,5.0,94.0,16.7
2023-01-03 07:00:00,34.5,0.33,8.1,0.8,11.0,8.0,93.0,16.9
2023-01-03 08:00:00,33.5,0.33,9.5,0.8,7.0,8.0,91.0,17.2
2023-01-03 09:00:00,33.0,0.31,9.9,0.8,5.0,14.0,88.0,17.6
2023-01-03 10:00:00,33.7,0.28,10.1,1.0,3.0,10.0,86.0,17.8
2023-01-03 11:00:00,34.2,0.28,10.0,1.3,3.0,16.0,83.0,18.1
2023-01-03 12:00:00,35.3,0.27,8.7,1.0,2.0,9.0,81.0,18.3
2023-01-03 13:00:00,33.9,0.24,8.4,1.0,3.0,9.0,83.0,17.7
2023-01-03 14:00:00,31.9,0.24,10.0,1.1,3.0,14.0,82.0,17.4
2023-01-03 15:00:00,30.7,0.24,11.4,1.2,4.0,17.0,83.0,17.2
2023-01-03 16:00:00,29.1,0.25,12.6,1.0,8.0,17.0,84.0,16.8
2023-01-03 17:00:00,28.1,0.28,12.7,0.9,5.0,15.0,85.0,16.3
2023-01-03 18:00:00,29.0,0.28,11.2,0.9,5.0,13.0,86.0,16.1
2023-01-03 19:00:00,28.9,0.27,10.7,0.7,8.0,11.0,85.0,15.9
2023-01-03 20:00:00,27.9,0.26,12.2,0.8,5.0,12.0,86.0,15.7
2023-01-03 21:00:00,31.4,0.24,9.2,1.0,5.0,8.0,87.0,15.4
2023-01-03 22:00:00,31.9,0.24,8.3,1.1,3.0,4.0,86.0,15.3
2023-01-03 23:00:00,32.0,0.24,8.2,1.0,3.0,4.0,85.0,15.4
2023-01-04 00:00:00,33.1,0.22,7.5,1.0,3.0,7.0,86.0,15.4
2023-01-04 01:00:00,33.6,0.21,6.1,0.7,2.0,14.0,85.0,15.4
2023-01-04 02:00:00,33.0,0.21,6.1,0.6,2.0,11.0,86.0,15.4
